uCR uF c size_gen it cost
0.1 0.5 0.1 200 8 0.0004034121522042966
0.1 0.5 0.1 200 9 0.003147584589644481
0.1 0.5 0.1 200 10 0.0010445746270768552
0.1 0.5 0.1 200 11 1.0443009536663492
0.1 0.5 0.1 200 12 0.0018757628466943288
0.1 0.5 0.1 200 13 2.058342760465951
0.1 0.5 0.1 200 14 0.00016334644275417531
0.1 0.5 0.3 100 0 26.563753931251803
0.1 0.5 0.3 100 1 0.0
0.1 0.5 0.3 100 2 16.158311330758906
0.1 0.5 0.3 100 3 130.0018164774188
0.1 0.5 0.3 100 4 82.70488736330579
0.1 0.5 0.3 100 5 74.11937149862901
0.1 0.5 0.3 100 6 38.13841349556091
0.1 0.5 0.3 100 7 26.335150545565924
0.1 0.5 0.3 100 8 0.0
0.1 0.5 0.3 100 9 20.33448809213799
0.1 0.5 0.3 100 10 43.698280048542316
0.1 0.5 0.3 100 11 25.075746432153796
0.1 0.5 0.3 100 12 36.258084954192356
0.1 0.5 0.3 100 13 0.0
0.1 0.5 0.3 100 14 1.7763568394002505e-15
0.1 0.5 0.3 200 0 0.020910684129795243
0.1 0.5 0.3 200 1 2.0756781677508993
0.1 0.5 0.3 200 2 0.055211880714200134
0.1 0.5 0.3 200 3 2.1705557872178307
0.1 0.5 0.3 200 4 0.008597542750003129
0.1 0.5 0.3 200 5 1.0387876742503739
0.1 0.5 0.3 200 6 0.24254395053134914
0.1 0.5 0.3 200 7 1.0868110772443274
0.1 0.5 0.3 200 8 2.1400228604832243
0.1 0.5 0.3 200 9 0.0023028826314366313
0.1 0.5 0.3 200 10 0.001145934824547723
0.1 0.5 0.3 200 11 3.062623065285525
0.1 0.5 0.3 200 12 0.007358259872829009
0.1 0.5 0.3 200 13 0.0008878195206349915
0.1 0.5 0.3 200 14 0.02994547284627913
0.1 0.5 0.5 100 0 51.62540100841606
0.1 0.5 0.5 100 1 0.0
0.1 0.5 0.5 100 2 0.0
0.1 0.5 0.5 100 3 26.00746447195796
0.1 0.5 0.5 100 4 57.22598854241308
0.1 0.5 0.5 100 5 44.337284008165824
0.1 0.5 0.5 100 6 0.0
0.1 0.5 0.5 100 7 25.905367866220736
0.1 0.5 0.5 100 8 47.3634888835458
0.1 0.5 0.5 100 9 75.38158985087388
0.1 0.5 0.5 100 10 47.61276418500864
0.1 0.5 0.5 100 11 63.473102139991134
0.1 0.5 0.5 100 12 70.3289071732043
0.1 0.5 0.5 100 13 35.04460865631472
0.1 0.5 0.5 100 14 3.552713678800501e-15
0.1 0.5 0.5 200 0 0.031820337382079344
0.1 0.5 0.5 200 1 0.025122241031059644
0.1 0.5 0.5 200 2 1.0270535113947048
0.1 0.5 0.5 200 3 0.02684366888900591
0.1 0.5 0.5 200 4 1.0229724425891114
0.1 0.5 0.5 200 5 0.17109750267619894
0.1 0.5 0.5 200 6 2.025010079054624
0.1 0.5 0.5 200 7 0.006782699108420331
0.1 0.5 0.5 200 8 3.0787286759904706
0.1 0.5 0.5 200 9 3.5492899119086943
0.1 0.5 0.5 200 10 1.177396814631999
0.1 0.5 0.5 200 11 3.122774616365403
0.1 0.5 0.5 200 12 0.036494446990909424
0.1 0.5 0.5 200 13 0.04029593492075456
0.1 0.5 0.5 200 14 1.2530497574966262
0.1 0.5 0.7 100 0 52.081006614415685
0.1 0.5 0.7 100 1 56.19725538460698
0.1 0.5 0.7 100 2 62.16356721559206
0.1 0.5 0.7 100 3 61.2530337159146
0.1 0.5 0.7 100 4 25.18557454897057
0.1 0.5 0.7 100 5 0.0
0.1 0.5 0.7 100 6 76.87026314225317
0.1 0.5 0.7 100 7 70.7714180046618
0.1 0.5 0.7 100 8 59.90389694823151
0.1 0.5 0.7 100 9 48.88319594949928
0.1 0.5 0.7 100 10 25.988670051818808
0.1 0.5 0.7 100 11 46.71058531233227
0.1 0.5 0.7 100 12 39.608647660472386
0.1 0.5 0.7 100 13 0.0
0.1 0.5 0.7 100 14 26.583202837441625
0.1 0.5 0.7 200 0 2.0474242177450606
0.1 0.5 0.7 200 1 1.0409883061421699
0.1 0.5 0.7 200 2 1.0282251171752357
0.1 0.5 0.7 200 3 1.2264579760339753
0.1 0.5 0.7 200 4 5.5515826558519485
0.1 0.5 0.7 200 5 1.0554458970616434
0.1 0.5 0.7 200 6 0.0038313224116315325
0.1 0.5 0.7 200 7 0.01114845270697451
0.1 0.5 0.7 200 8 2.0724011935490907
0.1 0.5 0.7 200 9 0.03836393126842097
0.1 0.5 0.7 200 10 0.016465354954600997
0.1 0.5 0.7 200 11 1.000337133678448
0.1 0.5 0.7 200 12 1.21161350890808
0.1 0.5 0.7 200 13 0.0016021683024778355
0.1 0.5 0.7 200 14 0.07308269032791692
